,apparent_zenith,zenith,apparent_elevation,elevation,azimuth,equation_of_time
2018-06-03 00:00:00+03:00,115.10242289322052,115.10242289322052,-25.102422893220517,-25.102422893220517,344.12506931334747,1.964880389314203
2018-06-03 01:00:00+03:00,116.71822540577904,116.71822540577904,-26.718225405779037,-26.718225405779037,359.45456573053696,1.9581431496735604
2018-06-03 02:00:00+03:00,115.30252076623879,115.30252076623879,-25.302520766238786,-25.302520766238786,14.820908467698871,1.951394866900955
2018-06-03 03:00:00+03:00,111.04699684396321,111.04699684396321,-21.046996843963214,-21.046996843963214,29.19539484439764,1.9446355595136993
2018-06-03 04:00:00+03:00,104.44560966694775,104.44560966694775,-14.445609666947743,-14.445609666947743,42.01828825483108,1.9378652459199657
2018-06-03 05:00:00+03:00,96.07612507068727,96.07612507068727,-6.076125070687271,-6.076125070687271,53.272874594567156,1.9310839444879093
2018-06-03 06:00:00+03:00,86.24583655088487,86.45010603171148,3.7541634491151226,3.5498939682885204,63.27562081746714,1.9242916738694475
2018-06-03 07:00:00+03:00,75.90576561896064,75.97093292540318,14.094234381039358,14.02906707459683,72.48642914187371,1.9174884525746165
2018-06-03 08:00:00+03:00,64.91834411165749,64.95402922759212,25.081655888342507,25.045970772407887,81.4497214613184,1.9106742991352803
2018-06-03 09:00:00+03:00,53.65053962721567,53.67336327692584,36.34946037278433,36.32663672307416,90.86921260196425,1.9038492323306855
2018-06-03 10:00:00+03:00,42.42087476444633,42.436252443182596,47.57912523555367,47.563747556817404,101.86930340636104,1.8970132707981975
2018-06-03 11:00:00+03:00,31.739890748469726,31.750304248401555,58.260109251530274,58.249695751598445,116.69157774094577,1.8901664331751817
2018-06-03 12:00:00+03:00,22.816573244979367,22.82365077623939,67.18342675502063,67.17634922376061,140.27137978426083,1.8833087384373357
2018-06-03 13:00:00+03:00,18.690041508650438,18.695727921979966,71.30995849134956,71.30427207802003,178.4215445906034,1.8764402053020603
2018-06-03 14:00:00+03:00,22.29307053888732,22.299967289186327,67.70692946111268,67.70003271081367,217.47176926919119,1.8695608525558782
2018-06-03 15:00:00+03:00,30.99311504937478,31.00322740443238,59.00688495062522,58.99677259556762,241.99713581376648,1.8626706992872641
2018-06-03 16:00:00+03:00,41.596568309195234,41.61150851149706,48.403431690804766,48.38849148850294,257.2538784039632,1.855769764384604
2018-06-03 17:00:00+03:00,52.80258875547489,52.82472373897224,37.19741124452511,37.17527626102776,268.4412016959898,1.848858066739922
2018-06-03 18:00:00+03:00,64.07288140591518,64.10726008588219,25.92711859408481,25.892739914117808,277.9341548942376,1.8419356256017636
2018-06-03 19:00:00+03:00,75.08275352426206,75.14435526833805,14.917246475737944,14.855644731661956,286.90759154266,1.8350024599858443
2018-06-03 20:00:00+03:00,85.4840844406237,85.66231182240394,4.51591555937629,4.337688177596063,296.0838240155289,1.8280585889006034
2018-06-03 21:00:00+03:00,95.35027080847412,95.35027080847412,-5.350270808474121,-5.350270808474121,306.0138399622098,1.8211040317219158
2018-06-03 22:00:00+03:00,103.81243283724324,103.81243283724324,-13.812432837243236,-13.812432837243236,317.16224300986164,1.8141388075746363
2018-06-03 23:00:00+03:00,110.54552610969787,110.54552610969787,-20.54552610969787,-20.54552610969787,329.85806353445935,1.8071629357182246
